title,image,link,info,score
罗马元老院与人民,https://img3.doubanio.com/view/subject/m/public/s29890890.jpg,https://book.douban.com/subject/30284738/,[英]玛丽·比尔德 / 王晨 / 民主与建设出版社 / 2018-11 / 118.00元,9.2
万历十五年,https://img3.doubanio.com/view/subject/m/public/s1800355.jpg,https://book.douban.com/subject/1041482/,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,8.9
盗墓笔记,https://img3.doubanio.com/view/subject/m/public/s4442295.jpg,https://book.douban.com/subject/1948901/,南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元,8.3
平凡的世界（全三部）,https://img3.doubanio.com/view/subject/m/public/s1144911.jpg,https://book.douban.com/subject/1200840/,路遥 / 人民文学出版社 / 2005-1 / 64.00元,9.0
人性的弱点全集,https://img3.doubanio.com/view/subject/m/public/s27266511.jpg,https://book.douban.com/subject/1056295/,[美] 戴尔·卡耐基 / 袁玲 / 中国发展出版社 / 2008-1 / 25.00元,8.3
心理学与生活,https://img3.doubanio.com/view/subject/m/public/s1068520.jpg,https://book.douban.com/subject/1032501/,[美] 理查德·格里格、菲利普·津巴多 / 王垒、王甦 等 / 人民邮电出版社 / 2003-10 / 88.00元,8.8
态度改变与社会影响,https://img3.doubanio.com/view/subject/m/public/s5678874.jpg,https://book.douban.com/subject/2328178/,[美]菲利普·津巴多、迈克尔·利佩 / 邓羽、肖莉、唐小艳 等 / 人民邮电出版社 / 2007-11-1 / 68.00元,9.0
爱的艺术,https://img3.doubanio.com/view/subject/m/public/s2990934.jpg,https://book.douban.com/subject/3026879/,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,8.8
无声告白,https://img3.doubanio.com/view/subject/m/public/s28109182.jpg,https://book.douban.com/subject/26382433/,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,8.2
认知天性,https://img1.doubanio.com/view/subject/m/public/s29897337.jpg,https://book.douban.com/subject/30353486/,[美] Peter C. Brown、[美] Henry L. Roediger III、[美] Mark A. McDaniel / 邓峰 / 中信出版社 / 2018-10 / 58.00元,8.0
我要快乐，不必正常,https://img1.doubanio.com/view/subject/m/public/s29756387.jpg,https://book.douban.com/subject/27663541/,[英] 珍妮特·温特森 / 冯倩珠 / 北京联合出版公司 / 2018-6 / 49.00,8.6
